times,distances,speeds,power_total,power_diesel,power_battery,power_regen,power_track,power_train,power_lost,power_accel
23.91809383506989,81.40375002500126,6.753469442885149,12432460.000006283,9152459.999966307,3280000.000039976,0.0,0.0,315368.0911239316,0.0,7297438.689682027
34.333007057845734,162.80750005000252,8.781957139332853,12432460.000006283,9152459.999966307,3280000.000039976,0.0,0.0,846489.849934068,0.0,11579319.758315235
42.935100942499446,244.2112500754679,10.110921955738654,12432460.000006283,9152459.999966307,3280000.000039976,0.0,0.0,1094595.9796966717,0.0,11169933.625188556
50.573854618032605,325.61500010093323,11.187520688482957,12432460.000006283,9152459.999966307,3280000.000039976,0.0,0.0,1290013.5362833359,0.0,11487416.013717407
55.044822234226594,376.650189311849,11.604281471836174,12432460.000006283,9152459.999966307,3280000.000039976,0.0,3070068.8345583635,1419229.9373825756,0.0,8130310.46267806
59.39995854166764,427.6853785227647,11.845231105009402,12432460.000006283,9152459.999966307,3280000.000039976,0.0,6317325.610442204,1478134.4863991523,0.0,4964796.809019717
63.78105724402422,480.2314880386698,12.166958934211099,12432460.000006283,9152459.999966307,3280000.000039976,0.0,3889038.353441414,1529517.532390135,0.0,6748084.385332474
68.02224390984401,532.7775975545749,12.608235322826491,12432460.000006283,9152459.999966307,3280000.000039976,0.0,1350764.7847346107,1600675.1318507285,0.0,9864691.618138332
74.32023492691046,614.3954861269111,13.320759253165877,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-451114.42219762475,1711579.6760378755,0.0,11226030.99003911
80.3056400918759,696.0133746992474,13.906606273892061,12432460.000006283,9152459.999966307,3280000.000039976,0.0,196423.21405407472,1841251.4333254031,0.0,10198573.621854104
86.08717291989052,777.6312632723391,14.34338289024986,12432460.000006283,9152459.999966307,3280000.000039976,0.0,2930805.282814989,1947110.0638248983,0.0,8167286.888441902
91.68276706289241,859.2491518454308,14.857717440922345,12432460.000006283,9152459.999966307,3280000.000039976,0.0,27730.91188237423,2048584.25750597,0.0,10271688.742307145
97.06282241884854,940.867040417767,15.471609285101044,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-3088922.2349003474,2172810.8951885886,0.0,13243751.735649377
102.2474922966865,1022.4849289901033,15.990290589205753,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-2111529.643509103,2301819.806890565,0.0,12045021.284161475
106.84427689225815,1096.851279798018,16.35063949736672,12432460.000006283,9152459.999966307,3280000.000039976,0.0,391112.73017667944,2404984.388578956,0.0,9702076.72392493
112.66167799376275,1193.0255872229457,16.711043903123866,12432460.000006283,9152459.999966307,3280000.000039976,0.0,2007362.8997570393,2491589.5423111888,0.0,7838431.857892722
117.32134535237562,1271.5451415110863,16.99315936764204,12432460.000006283,9152459.999966307,3280000.000039976,0.0,2186150.637534748,2570348.578490844,0.0,7809067.662678385
121.90258287546783,1350.064695799227,17.293866956852703,12432460.000006283,9152459.999966307,3280000.000039976,0.0,1090453.9574710636,2643073.416601067,0.0,8612605.255359488
126.39980849503338,1428.5842500869019,17.624575583135034,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-43839.00940386312,2723255.909903405,0.0,9826499.895738224
130.81428818999964,1507.1038043745768,17.95037391826613,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-447934.1718283225,2808180.460411764,0.0,10047471.230400696
135.84797906734764,1598.4137384730727,18.324463105959467,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-867951.383910118,2900485.251861497,0.0,10316615.05837134
140.78409901882364,1689.7236725715686,18.66560294251372,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-284371.24146517465,2996723.2063897448,0.0,9783065.94298629
145.63684977116674,1781.0336066691332,18.966829878548957,12432460.000006283,9152459.999966307,3280000.000039976,0.0,321815.48107785784,3084823.4400352337,0.0,8939459.387660556
150.41476258506808,1872.3435407666977,19.251910222534097,12432460.000006283,9152459.999966307,3280000.000039976,0.0,571626.5147193577,3166627.770059732,0.0,8726670.16745982
155.12479245845034,1963.6534748647396,19.520831389555198,12432460.000006283,9152459.999966307,3280000.000039976,0.0,828258.2223101078,3245158.909748215,0.0,8471708.00509753
159.77041017641736,2054.9634089627816,19.792096580378832,12432460.000006283,9152459.999966307,3280000.000039976,0.0,330964.46025430463,3322897.99703439,0.0,8784744.427129019
163.02949056664312,2119.795964507324,19.99491624664641,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-440881.3808665963,3392081.8296688856,0.0,9475441.757383153
166.5499977471995,2190.5793485724225,20.216283488254184,12432460.000006283,9152459.999966307,3280000.000039976,0.0,-709230.7618116217,3454749.075923223,0.0,9676054.186775722
170.03361414311422,2261.3627326375213,20.41582993662449,12432460.000006283,9152459.999966307,3280000.000039976,0.0,22489.68598164441,3517652.419924758,0.0,8906892.90682551
173.5980518803087,2334.462013496172,20.59961017218025,12432460.000006283,9152459.999966307,3280000.000039976,0.0,758902.4384705134,3575566.6708074114,0.0,8092790.331970947
176.1659405750248,2387.527745530992,20.730373734120555,12432460.000006283,9152459.999966307,3280000.000039976,0.0,754729.403789981,3623539.03518085,0.0,8054135.372215543
178.71782508674283,2440.593477565812,20.85887419889943,12432460.000006283,9152459.999966307,3280000.000039976,0.0,759463.8402890024,3663387.114485578,0.0,8014342.369553234
181.80249663710293,2505.168678029826,21.007759660984213,12432460.000006283,9152459.999966307,3280000.000039976,0.0,992759.882319128,3706328.7854549205,0.0,7733116.473526596
184.86602964929617,2569.74387849384,21.14925500358221,12432460.000006283,9152459.999966307,3280000.000039976,0.0,1229459.1733731239,3751625.2175526125,0.0,7451308.959125774
